test,data_mem,aux_mem,ssd,cached,bbs,n,s,lf,id,append,append_bytes,insert,insert_bytes,setup,setup_bytes,vl,total_time
ofs-update,1,1,0,1,128,256,3,2,128,0.024254,174112.000000,0.028664,179872.000000,0,0,128.000000,0.147256
ofs-update,1,1,0,1,32,2048,3,2,0,0,0,0,0,0.219228,1753680.000000,0,0.717354
ofs-update,1,1,0,1,32,2048,3,2,16,0.137238,896544.000000,0.158396,794432.000000,0,0,16.000000,0.717354
ofs-update,1,1,0,1,32,2048,3,2,128,0.050639,452032.000000,0.049915,348896.000000,0,0,128.000000,0.717354
ofs-update,1,1,0,1,32,2048,3,2,1024,0.049371,440512.000000,0.049449,444832.000000,0,0,1024.000000,0.717354
ofs-update,1,1,0,1,32,16384,3,2,0,0,0,0,0,1.707285,13576272.000000,0,2.884439
ofs-update,1,1,0,1,32,16384,3,2,16,0.336890,2015040.000000,0.255530,1010080.000000,0,0,16.000000,2.884439
ofs-update,1,1,0,1,32,16384,3,2,128,0.089084,2054368.000000,0.100949,1263584.000000,0,0,128.000000,2.884439
ofs-update,1,1,0,1,32,16384,3,2,1024,0.095092,2060608.000000,0.099478,2054848.000000,0,0,1024.000000,2.884439
ofs-update,1,1,0,1,32,16384,3,2,4096,0.095604,2039008.000000,0.099687,2051488.000000,0,0,4096.000000,2.884439
ofs-update,1,1,0,1,32,32,3,2,0,0,0,0,0,0.018005,14880.000000,0,0.040659
ofs-update,1,1,0,1,32,32,3,2,16,0.008548,28576.000000,0.009711,28448.000000,0,0,16.000000,0.040659
ofs-update,1,1,0,1,32,256,3,2,0,0,0,0,0,0.028245,122400.000000,0,0.126908
ofs-update,1,1,0,1,32,256,3,2,16,0.022904,121120.000000,0.026685,118400.000000,0,0,16.000000,0.126908
ofs-update,1,1,0,1,32,256,3,2,128,0.023819,126880.000000,0.023359,124000.000000,0,0,128.000000,0.126908
ofs-update,1,1,0,1,4096,2048,3,2,0,0,0,0,0,0.529694,68078160.000000,0,1.441924
ofs-update,1,1,0,1,4096,2048,3,2,16,0.228494,25872000.000000,0.188004,9140064.000000,0,0,16.000000,1.441924
ofs-update,1,1,0,1,4096,2048,3,2,128,0.120948,17099136.000000,0.111182,8680128.000000,0,0,128.000000,1.441924
ofs-update,1,1,0,1,4096,2048,3,2,1024,0.125939,17103456.000000,0.128803,17100576.000000,0,0,1024.000000,1.441924
ofs-update,1,1,0,1,4096,16384,3,2,0,0,0,0,0,3.877280,545732688.000000,0,8.741150
ofs-update,1,1,0,1,4096,16384,3,2,16,0.441317,33207360.000000,0.234793,11417280.000000,0,0,16.000000,8.741150
ofs-update,1,1,0,1,4096,16384,3,2,128,0.753519,135225440.000000,0.569738,67842880.000000,0,0,128.000000,8.741150
ofs-update,1,1,0,1,4096,16384,3,2,1024,0.689737,135229280.000000,0.698627,135222080.000000,0,0,1024.000000,8.741150
ofs-update,1,1,0,1,4096,16384,3,2,4096,0.734986,135214400.000000,0.699889,135210560.000000,0,0,4096.000000,8.741150
ofs-update,1,1,0,1,4096,32,3,2,0,0,0,0,0,0.010992,14880.000000,0,0.030784
ofs-update,1,1,0,1,4096,32,3,2,16,0.008739,286752.000000,0.009301,158976.000000,0,0,16.000000,0.030784
ofs-update,1,1,0,1,4096,256,3,2,0,0,0,0,0,0.073966,8425296.000000,0,0.203544
ofs-update,1,1,0,1,4096,256,3,2,16,0.030716,2206208.000000,0.030531,1157344.000000,0,0,16.000000,0.203544
ofs-update,1,1,0,1,4096,256,3,2,128,0.031516,2211968.000000,0.033559,2210528.000000,0,0,128.000000,0.203544
ofs-update,0,0,1,1,128,2048,3,2,0,0,0,0,0,0.216151,3320400.000000,0,0.721748
ofs-update,0,0,1,1,128,2048,3,2,16,0.135765,1496928.000000,0.161455,1012640.000000,0,0,16.000000,0.721748
ofs-update,0,0,1,1,128,2048,3,2,128,0.051649,848128.000000,0.052807,553664.000000,0,0,128.000000,0.721748
ofs-update,0,0,1,1,128,2048,3,2,1024,0.053198,840448.000000,0.047778,842368.000000,0,0,1024.000000,0.721748
ofs-update,0,0,1,1,128,16384,3,2,0,0,0,0,0,1.980029,26146896.000000,0,3.250409
ofs-update,0,0,1,1,128,16384,3,2,16,0.361508,2736480.000000,0.208446,1266880.000000,0,0,16.000000,3.250409
ofs-update,0,0,1,1,128,16384,3,2,128,0.105704,5199616.000000,0.117525,2833568.000000,0,0,128.000000,3.250409
ofs-update,0,0,1,1,128,16384,3,2,1024,0.111122,5189056.000000,0.146908,5199136.000000,0,0,1024.000000,3.250409
ofs-update,0,0,1,1,128,16384,3,2,4096,0.107873,5200576.000000,0.108209,5196736.000000,0,0,4096.000000,3.250409
ofs-update,0,0,1,1,128,32,3,2,0,0,0,0,0,0.011381,14880.000000,0,0.030155
ofs-update,0,0,1,1,128,32,3,2,16,0.008622,36160.000000,0.008543,30560.000000,0,0,16.000000,0.030155
ofs-update,0,0,1,1,128,256,3,2,0,0,0,0,0,0.037475,425808.000000,0,0.137921
ofs-update,0,0,1,1,128,256,3,2,16,0.024021,179392.000000,0.025735,143936.000000,0,0,16.000000,0.137921
ofs-update,0,0,1,1,128,256,3,2,128,0.022588,170752.000000,0.025621,181792.000000,0,0,128.000000,0.137921
ofs-update,0,0,1,1,32,2048,3,2,0,0,0,0,0,0.194859,1753680.000000,0,0.706645
